,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
48,2019-11-11,9039.41,9066.94,8364.36,8496.99,8040.858639,2019-11-17 23:59:59.999,69497680.16439795,65679,3602.133365,31151203.76971131,0
49,2019-11-18,8495.9,8495.9,6777.0,6903.27,14796.54649,2019-11-24 23:59:59.999,111388422.47458716,127520,6179.35047,46583602.6682206,0
50,2019-11-25,6900.31,7863.64,6521.78,7402.72,13641.304838,2019-12-01 23:59:59.999,99056000.51458421,92731,5822.389731,42280285.49210812,0
51,2019-12-02,7400.5,7783.2,7085.77,7527.3,10376.045592,2019-12-08 23:59:59.999,76469123.89841945,63872,4626.628744,34083180.45250332,0
52,2019-12-09,7523.69,7666.91,7004.0,7112.82,8637.517224,2019-12-15 23:59:59.999,62779643.82391183,47467,4388.497244,31893452.02192441,0
53,2019-12-16,7113.3,7518.92,6420.74,7510.0,13455.314401,2019-12-22 23:59:59.999,94107677.6568484,72412,6145.803579,42913901.62987794,0
54,2019-12-23,7516.6,7688.0,7056.0,7381.42,7901.674355,2019-12-29 23:59:59.999,57941161.73116956,57523,3665.83392,26872632.02069342,0
55,2019-12-30,7374.8,7490.06,6843.95,7350.74,8155.033481,2020-01-05 23:59:59.999,58956688.04864009,52408,3632.387788,26232644.16345091,0
56,2020-01-06,7344.71,8466.27,7265.0,8182.4,17362.050074,2020-01-12 23:59:59.999,138745532.04035625,99488,7786.305661,62223910.914772,0
57,2020-01-13,8183.77,9182.75,8039.4,8701.62,13888.2428,2020-01-19 23:59:59.999,120600931.4488823,125473,6623.584338,57500641.60075345,0
58,2020-01-20,8701.74,8794.99,8217.0,8594.47,7619.062819,2020-01-26 23:59:59.999,64721857.7269035,72468,3922.991479,33315219.4344178,0
59,2020-01-27,8597.96,9570.0,8551.0,9323.16,10076.213923,2020-02-02 23:59:59.999,92795930.55226937,106251,4775.128319,43961780.73781935,0
60,2020-02-03,9322.99,10180.1,9080.0,10160.05,10062.935299,2020-02-09 23:59:59.999,96576059.560762,112918,4701.299921,45052902.00225981,0
61,2020-02-10,10161.59,10523.04,9629.54,9924.02,12830.572511,2020-02-16 23:59:59.999,129758818.6991761,168148,5989.489019,60563513.04631372,0
62,2020-02-17,9924.02,10290.03,9282.31,9965.21,10512.388035,2020-02-23 23:59:59.999,102781977.36497203,133591,4718.665758,46130349.4304883,0
63,2020-02-24,9970.45,10027.97,8400.0,8536.92,12074.932003,2020-03-01 23:59:59.999,108732431.31927638,128912,5563.79095,50035021.50064316,0
64,2020-03-02,8524.53,9215.43,8000.0,8039.5,10917.090402,2020-03-08 23:59:59.999,96240192.54404896,117189,4626.074772,40703583.55008886,0
65,2020-03-09,8033.35,8193.93,3777.0,5352.0,36671.590752,2020-03-15 23:59:59.999,221985769.4418763,290604,17178.820442,103984526.4935518,0
66,2020-03-16,5342.42,6940.0,4431.17,5821.77,39058.951026,2020-03-22 23:59:59.999,221511226.3801419,296959,18242.524203,103629380.46630062,0
67,2020-03-23,5819.1,6985.41,5685.97,5879.48,22941.846619,2020-03-29 23:59:59.999,147936049.7969682,179832,11253.712816,72523152.23377937,0
68,2020-03-30,5881.29,7278.3,5856.5,6781.73,22828.28873,2020-04-05 23:59:59.999,151646217.23380184,184350,11416.971941,75912951.30930482,0
69,2020-04-06,6781.74,7469.98,6740.0,6905.16,17595.232437,2020-04-12 23:59:59.999,125178195.15498248,168243,8852.655894,62998615.92309926,0
70,2020-04-13,6905.37,7303.0,6474.81,7132.36,14557.861865,2020-04-19 23:59:59.999,100981052.24621288,147053,7571.154086,52452956.05956657,0
71,2020-04-20,7127.34,7764.0,6756.96,7703.79,14742.71266,2020-04-26 23:59:59.999,106664268.59194972,119794,7742.168865,56005047.96916834,0
72,2020-04-27,7705.81,9474.88,7635.0,8903.84,21391.128216,2020-05-03 23:59:59.999,183233280.5458128,242786,11367.183089,97172068.99850646,0
73,2020-05-04,8903.84,10077.91,8102.0,8726.3,23768.603244,2020-05-10 23:59:59.999,218708963.19445032,253276,12453.645935,114654639.3470017,0
74,2020-05-11,8730.77,9950.23,8194.68,9675.4,21887.965445,2020-05-17 23:59:59.999,201879142.66889986,219861,11129.11346,102706587.54665692,0
75,2020-05-18,9678.01,9952.34,8680.0,8697.91,16145.527288,2020-05-24 23:59:59.999,151252221.92705455,149358,8220.42207,76970175.6109533,0
76,2020-05-25,8713.51,9760.4,8627.0,9445.53,12520.925241,2020-05-31 23:59:59.999,115429302.2874024,118654,6297.358998,58079631.25301968,0
77,2020-06-01,9439.23,10400.0,9158.32,9752.26,15919.808416,2020-06-07 23:59:59.999,154784672.91168883,136917,7928.764147,77143373.08325996,0
78,2020-06-08,9757.97,10010.93,9051.6,9332.88,11851.319597,2020-06-14 23:59:59.999,113714532.25841159,177928,5673.344817,54600431.75742307,0
79,2020-06-15,9332.88,9588.23,8894.73,9282.1,10839.74566,2020-06-21 23:59:59.999,101424590.05013493,116397,5255.341165,49139870.05268933,0
80,2020-06-22,9281.68,9795.51,8822.3,9105.45,11663.963118,2020-06-28 23:59:59.999,108818970.02995394,127469,6134.63775,57226809.82414601,0
81,2020-06-29,9116.61,9295.27,8908.24,9076.59,7517.538674,2020-07-05 23:59:59.999,68644345.75530937,69103,4280.915795,39106429.98874459,0
82,2020-07-06,9077.42,9479.11,9059.2,9298.95,10032.351496,2020-07-12 23:59:59.999,93173473.72966665,108386,6047.680974,56210069.36882092,0
83,2020-07-13,9301.49,9345.48,9032.08,9215.03,9779.65909,2020-07-19 23:59:59.999,89845661.91494922,119749,5531.99074,50819664.42280069,0
84,2020-07-20,9215.03,10208.94,9131.57,9940.27,9495.657523,2020-07-26 23:59:59.999,90916499.10434188,129736,5287.060426,50609015.61796995,0
85,2020-07-27,9941.17,12145.97,9932.58,11069.42,19602.392967,2020-08-02 23:59:59.999,216924650.89044988,332253,10657.974439,118284612.9053771,0
86,2020-08-03,11070.7,11920.0,10937.96,11689.95,10758.068307,2020-08-09 23:59:59.999,124191836.71048562,216553,6250.846103,72178276.16770253,0
87,2020-08-10,11689.95,12090.63,11124.72,11919.41,12770.74038,2020-08-16 23:59:59.999,149156422.99533615,153706,7315.778999,85429527.97026627,0
88,2020-08-17,11915.67,12480.89,11372.33,11650.81,9975.718639,2020-08-23 23:59:59.999,118279051.69285636,149028,5297.635489,62837441.73040915,0
89,2020-08-24,11653.07,11828.15,11116.0,11713.0,7106.807473,2020-08-30 23:59:59.999,81542198.63373688,96097,3967.517754,45549165.50866427,0
90,2020-08-31,11717.05,12061.07,9830.0,10254.99,13903.697485,2020-09-06 23:59:59.999,150830950.35734668,173489,7173.495104,78251591.648127,0
91,2020-09-07,10251.91,10580.0,9842.1,10329.34,10698.469796,2020-09-13 23:59:59.999,109390895.67569873,81244,5841.464681,59769813.07963291,0
92,2020-09-14,10331.43,11179.11,10245.71,10918.48,9108.933211,2020-09-20 23:59:59.999,98433584.05506784,67534,4485.924578,48430524.06640186,0
93,2020-09-21,10923.33,10991.01,10115.91,10778.72,9016.593806,2020-09-27 23:59:59.999,94759568.99675792,67167,4508.633343,47383790.48369754,0
94,2020-09-28,10776.92,10950.4,10367.95,10674.48,7761.372199,2020-10-04 23:59:59.999,82693739.43866403,62271,3836.798662,40927408.66622222,0
95,2020-10-05,10667.77,11492.79,10522.26,11371.57,8844.472601,2020-10-11 23:59:59.999,96552463.2853395,74605,4668.701949,50877953.47844774,0
96,2020-10-12,11370.57,11730.49,11182.0,11510.61,6679.291389,2020-10-18 23:59:59.999,76192870.83140288,69248,3119.6202,35585797.44777404,0
97,2020-10-19,11514.4,13364.46,11409.78,13043.18,12368.412307,2020-10-25 23:59:59.999,154999767.08042943,118968,5485.454273,68821781.9191606,0
98,2020-10-26,13043.18,14099.0,12766.46,13760.58,11997.96833,2020-11-01 23:59:59.999,160852582.35784703,107380,5373.228374,72022551.21158513,0
99,2020-11-02,13771.58,15972.33,13211.39,15488.84,13852.871641,2020-11-08 23:59:59.999,203094863.57843223,132674,6518.819932,95862572.16936108,0
100,2020-11-09,15479.68,16492.0,14819.62,15962.96,11359.642324,2020-11-15 23:59:59.999,178573471.4101168,130260,4812.569057,75619971.74321768,0
101,2020-11-16,15971.77,18980.0,15881.83,18441.3,12501.565601,2020-11-22 23:59:59.999,222051745.37953284,156018,5809.006528,103232059.83667877,0
102,2020-11-23,18440.92,19494.79,16189.27,18191.57,14784.817426,2020-11-29 23:59:59.999,265035070.4091087,205978,6537.687564,117498621.97383426,0
103,2020-11-30,18201.7,19906.0,18098.37,19378.79,13468.683909,2020-12-06 23:59:59.999,257340422.08709612,183759,5777.928721,110334884.27575493,0
104,2020-12-07,19383.97,19438.0,17572.78,19168.28,11451.529316,2020-12-13 23:59:59.999,212132119.55913195,141134,4881.819886,90573789.0678598,0
